MaxPitDepth,Time,pH,PipeSoilPotential,SoilResistivity,WaterContentpc,BulkDensity,DissolvedChloride,Bicarbonate,SulfateConcentration,RadoxPotential,CoatingType,Class
1.57,20,4.35,?0.71,62.1,23.9,1.21,12.41,16.65,172.2,342,WTC,C
3.05,20,4.79,?0.83,63.5,19.5,1.28,24.81,11.1,116.1,129,NC,C
2.08,20,5.78,?0.77,17.6,23.9,1.27,14.06,11.1,121.7,339,WTC,C
1.57,20,5.65,?0.83,19.3,27,1.25,15.44,11.1,34.3,340,WTC,C
0.79,19,6.84,?1.95,36,27.7,1.26,7.44,12.93,343.3,235,WTC,C
0.81,21,5.21,?0.91,65.8,12.8,1.3,12.13,11.1,84.17,313,WTC,C
1.17,21,5.27,?0.99,15.2,16.4,1.21,8.82,12.93,93.58,306,WTC,C
1.17,21,5.5,?1.08,20.8,15.3,1.24,9.1,13.87,47.4,279,WTC,C
1.57,20,4.33,?0.71,57.1,23.9,1.24,14.89,11.1,127,342,WTC,C
1.42,26,7.5,?0.65,15.7,20.3,1.28,8.27,12.65,136.4,235,CTC,C
1.89,26,7.11,?0.68,39.4,30.3,1.16,9.94,12.65,101.5,210,CTC,C
4.24,26,6.01,?0.67,13.3,29.4,1.3,69.05,5.55,40.43,96,CTC,C
2.59,26,7.04,?0.71,10,34.1,1.21,38.26,12.87,106.8,93,CTC,C
3.91,21,5.02,?0.81,44,19.5,1.27,49.3,11.1,28,104,NC,C
0.76,21,5.73,?0.79,81.1,12.5,1.29,9.93,19.42,173,272,WTC,C
2.51,25,5.8,?0.88,8.8,33.9,1.15,11.58,8.32,321.1,263,CTC,C
2.67,26,6.22,?0.77,10.8,27.4,1.17,27.99,5.1,143.2,92,CTC,C
0.94,25,6.37,?0.85,46.8,30.4,1.16,14.06,11.1,284.3,88,CTC,C
0.53,23,5.77,?0.97,104.7,28,1.2,8.82,12.94,170.8,305,CTC,C
1.07,25,5.73,?1.36,18.7,29.8,1.19,17.09,27.74,83.6,309,CTC,C
3.91,21,4.86,?0.80,89.6,16.1,1.26,56.32,5.55,34.8,189,NC,C
2.06,18,4.91,?1.16,124.2,22.3,1.24,10.75,11.1,39.81,348,NC,C
3.1,25,5,?0.88,16.2,31,1.11,26.62,5.55,133.2,220,CTC,C
0.43,20,7.5,?1.44,22.4,26.8,1.25,8.27,5.55,275,157,WTC,C
2.34,18,5.15,?1.36,183.1,25.5,1.22,15.72,5.55,57.66,218,NC,C
0.76,22,6.4,?0.88,30.9,18.8,1.24,8.27,5.55,129.8,202,WTC,C
1.17,25,5.29,?0.75,86.3,29.1,1.12,6.62,5.55,60.47,275,CTC,C
4.78,20,4.16,?1.09,6.8,28.9,1.2,86.3,8.32,129.8,108,NC,C
1.27,23,4.6,?0.80,129.3,20.8,1.27,8.8,9.71,98.1,130,CTC,C
1.57,20,5.51,?0.62,72.3,28.9,1.17,14.09,11.1,81.99,315,WTC,C
0.91,29,6.61,?1.11,9.1,30.8,1.28,18.49,5.55,30.97,59,CTC,C
1.4,19,5.5,?1.18,236.6,18.1,1.29,11.45,8.32,82.28,326,CTC,C
2.21,22,5.2,?0.87,98.5,21,1.29,12.33,16.65,184.8,255,NC,C
1.65,22,5.35,?0.88,87.4,23.1,1.19,7.92,19.42,59.19,288,WTC,C
1.17,20,5.29,?0.83,82.7,19.1,1.27,8.8,11.1,54.91,269,WTC,C
1.93,22,5.77,?0.96,79.3,17,1.19,7.92,11.1,71.59,233,WTC,C
0.94,20,6.01,?0.91,24.1,22.6,1.19,7.92,11.1,138.7,201,WTC,C
1.57,22,5.02,?0.96,72,20.3,1.25,12.49,16.55,172.3,180,WTC,C
1.57,19,6.96,?1.07,65,30.3,1.28,15.89,11.97,168,220,WTC,C
2.21,29,5.35,?1.05,34.5,21.7,1.26,13.33,13.87,308.4,190,CTC,C
1.17,18,5.99,?0.99,123.1,13.4,1.3,6.62,5.55,60.47,189,WTC,C
1.17,20,6.11,?0.80,87.8,20.1,1.22,12.33,16.65,54.85,150,CTC,C
1.57,19,5.43,?1.10,149.2,20.4,1.2,17.09,11.1,61.99,299,NC,C
0.41,20,5.57,?1.10,221,13.7,1.28,8.27,5.55,255.1,290,WTC,C
1.04,18,5.78,?1.10,65,21.6,1.25,17.09,17.74,53.56,133,WTC,C
1.57,15,5.93,?1.13,99.5,23.4,1.27,15.72,5.55,57.66,199,WTC,C
2.74,20,5.01,?0.81,43.6,25.3,1.19,27.75,5.55,27.81,74,WTC,C
0.41,15,6.48,?1.05,161.2,16.6,1.27,9.93,19.42,93.05,274,WTC,C
1.04,20,7.01,?0.98,15.1,34,1.19,14.06,11.1,184.3,85,WTC,C
0.41,15,6.84,?1.23,90.9,20.8,1.27,7.44,12.65,111.5,163,WTC,C
0.92,18,5.99,?0.94,104,13.4,1.3,9.72,5.55,66.47,189,WTC,C
0.94,20,6.01,?0.78,85.8,20.1,1.22,12.83,16.65,89.85,150,WTC,C
0.91,17,5.23,?1.02,139.2,20.4,1.2,17.86,11.1,128,209,WTC,C
0.91,20,5.7,?1.10,151,13.7,1.28,9.27,5.55,185.1,259,CTC,C
0.94,18,5.79,?1.10,65,21.6,1.25,17.94,15.74,148.6,233,WTC,C
0.91,16,5.56,?0.83,19.3,27,1.25,14.4,5.55,192.3,240,WTC,C
1.01,22,5.28,?0.77,17.6,23.9,1.25,19.06,8.32,158,339,CTC,C
1.93,15,4.69,?0.82,51.5,19.9,1.27,28.81,5.55,200.2,120,AEC,C
2.08,20,5.12,?1.03,11.6,29.1,1.28,26.81,5.55,159.5,101,AEC,C
1.58,13,5.02,?0.91,49,25.3,1.24,19.27,5.55,217.3,80,NC,C
2.5,20,6.01,?0.69,22.6,25.3,1.22,82.99,5.55,109.3,225,WTC,C
3.18,24,6.12,?0.63,11.6,29.1,1.26,96.81,5.55,115.5,11,WTC,C
1.31,21,6.21,?0.71,45.8,12.8,1.26,32.13,11.1,84.17,113,WTC,C
3.88,27,5.3,?0.62,36.5,25.3,1.23,109.8,10.65,374.3,17.3,CTC,C
2.65,13,5.08,?0.54,35.2,23,1.22,102.4,16.48,260.4,45,WTC,C
4.24,28,5.16,?0.79,60,23.9,1.36,109.8,11.87,95.57,108,CTC,C
1.17,21,6.27,?0.99,55.2,16.4,1.28,8.82,12.93,93.58,106,WTC,C
0.81,13,7.11,?0.60,25,19.4,1.27,48.12,9.24,232.2,90,WTC,C
0.94,18,6.09,?0.86,20.6,19.9,1.28,18.27,22.19,126.6,242,WTC,C
0.71,6,5.03,?0.52,43,23.1,1.28,18.41,5.55,152.3,102,FBE,C
8.56,42,6.12,?0.47,7.8,36,1.2,105.5,28.68,455.9,110,CTC,C
8.31,42,6.13,?0.47,6.8,32.4,1.21,104,15.01,379.1,117,CTC,C
8.41,42,6.5,?0.47,10.4,31.3,1.2,128.5,28.99,288.2,98,CTC,C
0.81,42,7.09,?0.48,107.1,16.8,1.34,30.96,29.65,101.2,138,CTC,C
8.26,42,6.2,?0.49,10.3,38.9,1.22,56.14,33.47,146.8,98,CTC,C
1.6,42,7.21,?0.49,8.1,30.3,1.3,22.17,19.55,256.7,92,CTC,C
1.57,42,7.79,?0.47,7.3,39.3,1.3,18.41,29.55,399.9,99,CTC,C
6.45,8,5.03,?0.42,6.3,23.7,1.22,49.17,8.32,16.28,130,NC,C
7.04,8,5.08,?0.45,3.8,27.3,1.22,47.57,8.32,14.9,95,NC,C
0.79,23,6.44,?1.13,30,19.4,1.18,117,78.1,14.53,44,CTC,C
1.17,23,8.18,?0.97,43.5,22.8,1.18,117,39.05,148.5,120,WTC,C
0.79,23,8.14,?0.97,42.6,23.3,1.19,292.5,91.12,24.1,146,WTC,C
0.41,23,8.09,?0.97,27.2,27,1.15,146.2,52.07,88.68,153,WTC,C
2.74,27,6.76,?0.87,10.5,21.6,1.24,175.5,65.09,38.45,108,WTC,C
0.79,23,6.55,?1.03,30.9,21.4,1.17,351,91.12,2.57,49,CTC,C
0.79,23,6.59,?1.03,30,21,1.22,146.2,117.2,69.54,51,CTC,C
1.57,50,9.88,?0.76,41,25.7,1.21,234,52.07,351.9,69,CTC,C
1.98,50,6.79,?0.75,41,26.9,1.17,21.06,65.09,9.75,65,CTC,C
1.98,40,7.01,?0.86,98.6,20.1,1.14,87.75,65.09,9.75,201,CTC,C
0.79,23,8.01,?0.96,44.9,24.2,1.25,263.2,78.1,48.02,163,WTC,C
1.57,16,5.99,?0.80,35.7,27.1,1.28,263.2,156.2,698.6,111,WTC,C
1.96,23,7.95,?0.98,44.3,29.3,1.16,11.7,65.09,146.1,125,WTC,C
4.83,27,4.14,?1.07,207,22.8,1.22,87.75,5.21,55.19,216,CTC,C
1.27,27,5.07,?1.15,72.6,25,1.12,87.75,6.51,69.54,285,CTC,C
5,35,5.13,?0.58,11,29.4,1.12,17.75,5.21,69.54,101,CTC,C
8.41,35,5.73,?0.58,8.4,23.1,1.11,234,5.21,43.23,178,CTC,C
7.59,35,6.33,?0.57,11.4,24.9,1.17,58.5,6.51,43.23,189,CTC,C
7.59,37,5.49,?0.82,22.3,31.8,1.23,117,7.81,21.71,144,CTC,C
5,37,5.41,?0.95,28.2,23.1,1.19,117,5.21,<1.00,146,CTC,C
5,37,5.33,?0.93,10.3,57.6,1.14,146.2,5.21,9.75,175,CTC,C
1.78,37,5.32,?0.87,8.9,19.7,1.18,11.7,3.91,45.63,232,CTC,C
1.14,33,5.04,?0.70,143.8,19.3,1.18,17.75,3.91,191.5,2.1,CTC,C
2.54,33,6.36,?0.70,12.2,32.1,1.19,75.5,10.41,2.57,242,CTC,C
2.36,33,5.8,?0.74,399.5,14.1,1.17,75.5,5.21,88.68,216,CTC,C
5,35,5.19,?0.58,11.2,29.7,1.28,27.75,5.21,53.66,107,CTC,C
4.83,27,4.64,?1.07,218.7,26.8,1.22,89.75,5.21,55.19,206,CTC,C
1.52,33,6.32,?0.76,276.7,8.8,1.23,46.25,5.21,189.1,256,CTC,C
0.99,21,6.16,?0.96,28.4,19.5,1.35,10.75,13.87,41.41,298,WTC,SCL
0.81,21,6.75,?0.91,34.1,15.2,1.45,8.27,8.32,16.85,262,CTC,SCL
0.79,19,6.98,?1.90,21.5,22.3,1.38,10.75,13.87,35.32,256,WTC,SCL
0.79,19,6.81,?1.97,33.7,21.9,1.4,11.58,13.87,37.37,256,WTC,SCL
1.65,26,6.47,?1.13,32.7,24.2,1.44,12.13,12.93,129.5,275,CTC,SCL
1.17,21,5.94,?1.23,24,19.1,1.4,10.75,11.1,177.4,270,WTC,SCL
2.11,26,7.01,?1.10,34.1,24.7,1.43,17.72,12.93,115,72,CTC,SCL
1.25,26,6.8,?1.11,32.7,21.6,1.42,7.72,8.32,89.3,126,CTC,SCL
0.46,10,5.41,?0.90,25,19.4,1.46,28.12,9.24,332.2,90,WTC,SCL
0.79,21,5.68,?0.93,156.5,21.4,1.4,11.58,11.1,35.4,106,WTC,SCL
2.65,11,4.48,?0.84,35.2,27,1.44,32.43,16.48,160.4,45,NC,SCL
0.79,21,6.14,?0.92,25.8,16.1,1.43,18.2,16.65,126.9,312,CTC,SCL
0.76,21,6.68,?0.93,46.5,17.7,1.39,28.95,14.76,93.58,220,WTC,SCL
0.43,9,5.8,?0.68,243.6,11.4,1.47,32.53,16.65,243.4,192,NC,SCL
0.41,9,6.05,?0.84,16.1,23.6,1.48,33.58,16.65,263.8,211,AEC,SCL
1.68,10,5.23,?0.91,34.4,12.8,1.45,33.09,11.1,315.2,127,NC,SCL
0.79,21,7.62,?0.93,32,16.2,1.37,8.27,16.65,68.6,226,CTC,SCL
2.11,26,6.8,?0.79,30.9,23.1,1.36,14.89,11.1,90.16,162,CTC,SCL
0.41,9,6.04,?0.83,13.1,26.4,1.49,24.81,27.74,127.2,236,NC,SCL
0.41,21,6.89,?1.16,20.6,14.9,1.43,8.27,22.19,126.6,242,WTC,SCL
0.51,21,6.4,?0.88,30.9,18.8,1.43,8.27,14.76,80.1,202,WTC,SCL
0.99,11,6.5,?0.90,55.9,28.3,1.4,18.2,8.32,216.2,255,NC,SCL
0.79,26,7.8,?0.79,30.9,23.1,1.42,8.27,11.1,39.09,162,CTC,SCL
1.24,10,4.75,?0.91,113.1,15.6,1.34,10.75,8.32,77.33,240,NC,SCL
0.41,12,7.45,?0.86,149.1,14.3,1.41,54.58,8.32,36.28,50,FBE,SCL
0.91,20,5.5,?1.02,161.2,21.2,1.35,17.61,11.1,14.9,168,WTC,SCL
0.43,12,6.83,?1.04,100.8,16.9,1.42,9.68,5.55,129.5,87,FBE,SCL
0.66,19,7.55,?0.71,14,29.9,1.38,15.85,13.87,67.74,200,WTC,SCL
0.79,12,6.98,?1.05,41,16,1.37,16.73,5.55,169.6,23,FBE,SCL
1.68,19,5.3,?1.06,107.7,20,1.37,4.4,11.1,68.17,301,WTC,SCL
0.48,17,5.9,?0.67,105.3,18.6,1.37,8.8,11.1,44.22,322,WTC,SCL
0.91,11,6.18,?1.43,18.7,19.4,1.34,8.8,16.65,42.51,20,FBE,SCL
0.43,10,6.97,?1.07,48.4,17.5,1.45,7.04,8.32,114.4,44,NC,SCL
0.79,12,6.99,?1.05,41.1,26,1.45,76.59,16.65,63.04,23,WTC,SCL
3.76,20,5.16,?0.70,21,13.9,1.43,39.8,11.87,15.57,108,NC,SCL
1.04,20,5.52,?0.65,65,29,1.42,3.52,8.32,452.3,339,WTC,SCL
1.57,5,7.25,?0.86,4.5,25,1.55,184.9,30.07,344.4,85,NC,SCL
0.48,27,6.5,?0.88,19,20.9,1.3,16.73,12.93,114.8,215,CTC,SCL
1.17,19,6.02,?1.18,67,21.6,1.35,33.09,11.1,215.1,230,WTC,SCL
1.07,19,6.08,?1.08,93.4,22.5,1.37,10.75,8.32,77.33,205,WTC,SCL
0.41,12,7.31,?1.05,20.6,33.9,1.49,8.27,22.19,106.6,55,WTC,SCL
1.17,19,4.98,?0.90,118.9,17.4,1.37,31.43,18.48,280.4,302,NC,SCL
1.57,19,5.56,?0.99,161.2,16.4,1.38,14.4,7.1,68.17,328,NC,SCL
1.4,12,7.04,?0.81,31.6,27.1,1.48,18.2,16.65,126.9,88,WTC,SCL
1.25,19,5.53,?1.10,148.1,16,1.37,28.12,9.24,332.2,330,WTC,SCL
0.91,14,6.2,?1.01,60,21.6,1.35,32.09,18.1,205.1,230,WTC,SCL
0.91,19,6.18,?1.00,80.4,22.5,1.37,11.75,8.32,79.33,205,WTC,SCL
3.3,26,5.01,?0.67,12.3,28.6,1.3,34.85,5.55,33.43,102,CTC,SCL
0.9,25,4.91,?0.99,102.9,17.4,1.37,31.93,16.48,290.4,302,CTC,SCL
0.94,19,5.66,?1.08,141.2,16.4,1.38,14.49,7.1,57.17,328,WTC,SCL
1.91,15,5.32,?1.07,14.1,29,1.37,26.06,8.32,79.64,110,AEC,SCL
1.04,19,5.3,?1.06,107.7,20,1.37,8.27,9.24,106.6,301,WTC,SCL
1.91,13,5.08,?1.02,13.7,29.9,1.4,28.27,12.65,80.78,106,NC,SCL
1.87,15,5.14,?1.10,24,22.1,1.4,27.33,7.1,122.1,132,AEC,SCL
0.91,21,6.14,?1.00,25.8,16.1,1.43,16.62,11.1,94.26,312,CTC,SCL
1.17,17,6.68,?0.93,40.5,17.7,1.39,28.27,9.24,138,220,WTC,SCL
0.66,23,6.29,?1.06,20.6,14.9,1.39,8.27,22.19,126.6,142,CTC,SCL
2.34,19,5.64,?0.65,56,26.7,1.33,31.44,12.93,343.3,135,NC,SCL
1.17,23,6.48,?0.81,46.5,27.7,1.36,28.95,14.76,93.58,220,CTC,SCL
1.57,10,5.25,?0.81,70.1,21.6,1.35,63.58,12.65,163.8,111,FBE,SCL
0.79,39,7.79,?1.00,21.4,26.2,1.42,20.58,18.02,139.8,93,CTC,SCL
1.57,39,7.4,?0.91,40.4,20.5,1.36,32.01,12.05,158.9,132,CTC,SCL
1.19,39,7.8,?0.95,15.4,38.6,1.39,3.2,13.89,145.3,144,CTC,SCL
1.57,19,6.69,?0.83,15.9,30.3,1.39,17.57,11.1,146.2,99,CTC,SCL
1.19,19,6.29,?0.80,4.3,36.3,1.36,10.15,7.1,289.8,145,CTC,SCL
1.17,19,6.91,?0.77,4.8,22,1.35,3.9,20.99,206.6,86,WTC,SCL
0.79,19,5.89,?0.77,5.7,27.7,1.44,17.58,25.01,289.8,55,WTC,SCL
0.79,19,5.86,?0.77,10.4,27,1.44,3.2,25.01,259.3,25,WTC,SCL
0.79,19,6.75,?0.77,8.1,27.6,1.41,8.65,25.01,209.2,159,WTC,SCL
5.87,31,5.96,?0.74,16.2,29.1,1.32,36.06,5.1,16.57,63,CTC,SCL
5.87,31,5.85,?0.74,16.5,31.8,1.3,39.17,5.1,19.17,63,CTC,SCL
1.17,19,6.91,?0.77,4.8,22,1.35,3.9,20.99,206.6,86,WTC,SCL
0.79,19,5.89,?0.77,5.7,27.7,1.44,17.58,25.01,289.8,55,WTC,SCL
0.79,19,5.86,?0.77,10.4,27,1.44,3.2,25.01,259.3,25,WTC,SCL
0.79,19,6.75,?0.77,8.1,27.6,1.41,8.65,25.01,209.2,159,WTC,SCL
1.17,21,5.5,?1.23,21.1,19.1,1.33,9.1,8.32,138,240,WTC,CL
2.74,26,6.16,?0.69,16.9,27.1,1.31,28.2,10.87,125.2,149,CTC,CL
2.46,26,6.42,?0.75,14.5,22.3,1.32,31.93,16.65,179.1,252.7,CTC,CL
1.27,26,6.52,?0.83,17.8,28.4,1.32,20.4,19.42,77.33,261.4,CTC,CL
3.58,26,5.6,?0.62,16.5,29.3,1.31,34.81,12.65,74.26,217.3,CTC,CL
2.49,26,6.15,?0.72,15.6,26.9,1.32,28.74,13.87,128,219.1,CTC,CL
2.31,26,6.89,?0.80,15.6,23.9,1.33,25.31,18.48,35.42,271.3,CTC,CL
1.02,26,6.59,?0.76,16.4,26.3,1.33,25.31,16.65,56.8,241.5,CTC,CL
0.41,21,6.03,?1.13,30,19.4,1.32,8.27,20.34,109.8,44,WTC,CL
1.91,26,6.69,?1.10,19.6,23.5,1.33,7.11,22.19,71.16,147,CTC,CL
3.58,26,5.05,?1.01,21.2,21.1,1.34,29.93,11.65,88.7,170,CTC,CL
0.41,9,6.25,?0.81,10.1,23.6,1.34,8.27,24.03,50.64,189,WTC,CL
0.43,9,9.36,?0.79,1.9,30.7,1.33,289.5,46.22,"1,370.20",19,AEC,CL
1.68,21,5.7,?0.89,24.3,15.5,1.38,4.96,9.71,82.71,120,WTC,CL
0.43,22,7.32,?0.88,54,16.5,1.32,8.27,11.1,123.5,154,CTC,CL
1.4,22,7,?0.61,14.8,29.2,1.33,14.09,11.1,219.3,70,WTC,CL
0.43,12,6.85,?1.08,45.1,17.2,1.33,4.4,11.1,100.7,78,FBE,CL
2.57,10,4.85,?0.82,113.1,15.8,1.31,59.87,11.1,11.3,240,NC,CL
0.58,20,5.89,?0.90,93.4,16,1.33,11.45,11.1,74.58,301,WTC,CL
0.48,21,7.02,?0.90,34.5,24.1,1.37,3.52,11.1,64.75,155,WTC,CL
1.96,29,6.4,?0.88,29.8,22.1,1.31,32.28,8.32,132.3,185.9,CTC,CL
1.96,25,6.67,?0.90,15.7,19.1,1.31,11.45,12.94,85.7,235,CTC,CL
1.19,5,5.9,?0.79,18.8,24.5,1.3,26.41,10.1,162.9,159,NC,CL
0.48,26,6.81,?0.80,10.8,22.1,1.33,19.37,11.1,99.56,233,CTC,CL
3.1,18,4.95,?1.00,19.7,27.4,1.31,62.28,8.32,132.3,213,NC,CL
0.94,22,5.79,?1.10,72.3,28.3,1.31,14.09,11.1,99.3,190,WTC,CL
0.41,12,6.98,?1.09,40.4,30.6,1.31,8.27,24.03,50.64,98,FBE,CL
1.59,18,4.9,?1.00,102.7,17.4,1.31,32.81,8.32,149.3,233,WTC,CL
1.96,22,5.69,?1.09,42.3,28.3,1.31,26.99,5.55,109.3,150,WTC,CL
1.04,26,6.89,?0.80,15.6,23.9,1.33,17.11,11.1,75.01,271.3,CTC,CL
2.1,26,5.09,?0.76,16.4,26.8,1.33,29.93,11.1,157.7,241.5,CTC,CL
1.17,21,5.5,?1.14,21.1,19.1,1.33,16.62,8.32,60.47,240,CTC,CL
1.59,26,6.59,?0.73,14.4,27.8,1.33,16.75,8.32,103.5,199,CTC,CL
1.17,5,5.07,?0.71,3.8,26.1,1.35,18.27,10.74,77.33,89,WTC,CL
0.91,9,8.01,?0.79,2.1,33.7,1.32,152.3,16.22,677.4,19,NC,CL
1.04,22,5.74,?1.03,44,25.1,1.32,29.75,11.1,177.4,70,WTC,CL
1.17,15,6.42,?0.90,34.5,24.1,1.3,33.52,11.1,64.75,155,NC,CL
1.4,21,7.12,?0.71,34.1,15.2,1.32,48.27,8.32,16.85,162,WTC,CL
4.15,16,4.99,?0.60,30,18.9,1.33,100.8,5.55,15.57,108,NC,CL
0.94,15,7.1,?0.56,34.5,24.1,1.38,33.52,11.1,64.75,150,NC,CL
2.21,30,5.65,?0.91,36.6,27.7,1.36,13.33,13.87,108.4,190,CTC,CL
0.79,17,5.84,?0.95,56,27.7,1.32,30.44,12.93,343.3,235,WTC,CL
0.81,42,7.26,?0.47,7.2,22.9,1.31,94.59,55.39,958.9,98,CTC,CL
8.13,42,6.3,?0.49,6.3,31.5,1.31,125.4,45.37,590.4,109,CTC,CL
7.7,42,6.58,?0.49,4.9,33.3,1.31,107,43.7,498,107,CTC,CL
0.81,42,7.09,?0.49,7.1,16.8,1.34,90.96,29.65,401.2,138,CTC,CL
1.19,42,6.81,?0.49,7.3,31.7,1.33,55.66,59.35,905.6,100,CTC,CL
0.41,42,7.36,?0.49,6.5,22,1.36,19.02,41.82,312.7,132,CTC,CL
7.65,42,6.22,?0.49,8.2,37.2,1.33,19.02,23.17,157.1,103,CTC,CL
1.6,42,7.52,?0.49,7.7,35.8,1.37,8.17,5.55,281.2,117,CTC,CL
10.41,22,5.08,?1.53,20.1,27.7,1.31,21.17,<1.00,25.27,149,WTC,CL
1.17,50,6.81,?0.76,41.5,24.7,1.3,11.7,91.12,550.3,72,CTC,CL
4.75,27,5.98,?0.70,51.3,29.7,1.31,146.2,104.1,59.98,41,CTC,CL
3.18,23,8.02,?0.96,46.9,25.7,1.3,117,39.05,148.5,169,WTC,CL
0.81,27,6.91,?0.85,14.6,25.1,1.27,117,65.09,43.23,89,CTC,CL
1.17,20,6.5,?0.79,21.5,25.6,1.29,204.8,78.1,227.4,69,CTC,CL
3.3,33,5.1,?0.66,20.8,25.1,1.25,14.25,5.21,69.54,151,CTC,CL
0.79,17,5.84,?0.95,56,27.7,1.32,30.44,12.93,343.3,235,WTC,CL
1.17,50,6.91,?0.77,42,24.8,1.3,21.7,91.12,385.8,75,CTC,CL
0.79,27,6.94,?0.84,13.3,24.8,1.26,<1.00,<1.00,<1.00,91,CTC,SYCL
1.57,21,7.41,?0.57,13.9,27.3,1.28,11.7,6.51,64.76,53,CTC,SYCL
2.79,33,5.3,?0.69,31.7,18.8,1.24,23.45,6.51,177.2,117,CTC,SYCL
1.78,33,5.42,?0.69,29.5,25.7,1.25,11.7,6.51,19.32,134,CTC,SYCL
1.78,33,5.04,?0.70,143.8,19.3,1.3,14.25,5.21,21.71,2.1,CTC,SYCL
1.14,33,6.24,?0.71,36.3,19.2,1.26,46.25,5.21,138.9,48,CTC,SYCL
2.36,33,4.56,?0.62,116.2,18,1.22,37.75,6.51,<1.00,260,CTC,SC
2.36,33,4.96,?0.62,169.2,17.4,1.22,30.75,6.51,9.75,255,CTC,SC
0.79,19,6.41,?0.85,7.2,34.4,1.33,351,78.1,16.92,119,CTC,SL
